iter	Logloss
0	0.6927325948
1	0.6921997247
2	0.6917895031
3	0.6913783007
4	0.6910572061
5	0.690738742
6	0.6903394791
7	0.6899031728
8	0.6894192086
9	0.6890266289
10	0.6887262832
11	0.688456952
12	0.688023041
13	0.6877196062
14	0.6874524589
15	0.6871242277
16	0.6868181541
17	0.6863299975
18	0.6859844424
19	0.6855266824
20	0.6852643275
21	0.6849271898
22	0.684640699
23	0.6842849133
24	0.6838909024
25	0.6834918221
26	0.683137416
27	0.6827555208
28	0.6823649568
29	0.6819846243
30	0.6817377133
31	0.6813050167
32	0.6809764701
33	0.6805645498
34	0.6802785446
35	0.6799651876
36	0.6799516313
37	0.6796522552
38	0.6793944044
39	0.6791411889
40	0.6788170439
41	0.678359418
42	0.6783066038
43	0.6780361744
44	0.6778673631
45	0.6775148252
46	0.6771777016
47	0.6768069733
48	0.6765416732
49	0.6762860999
50	0.6759800753
51	0.6756364292
52	0.6751997022
53	0.6748321217
54	0.674582633
55	0.674230559
56	0.6739326477
57	0.6734327931
58	0.6731113174
59	0.6728436196
60	0.6726718637
61	0.6724062446
62	0.6720115398
63	0.6717767824
64	0.6714446783
65	0.6710495945
66	0.6707994125
67	0.6705110746
68	0.6702329312
69	0.6700721888
70	0.669844859
71	0.6694651094
72	0.669117166
73	0.6687119621
74	0.6684242346
75	0.6681032613
76	0.6678726695
77	0.6675516322
78	0.6672720274
79	0.6669878573
80	0.6667304725
81	0.6665132909
82	0.6662049434
83	0.6659242848
84	0.6657280127
85	0.6655478519
86	0.6652014811
87	0.6648716812
88	0.664697725
89	0.6646303905
90	0.6643940777
91	0.6642455749
92	0.663949175
93	0.6635226182
94	0.6631598613
95	0.6629713307
96	0.6627065268
97	0.6624127274
98	0.6621927407
99	0.6618727079
100	0.6616166512
101	0.6612788084
102	0.6610413947
103	0.660999537
104	0.6607576534
105	0.6604045529
106	0.66018716
107	0.6599876963
108	0.659787479
109	0.6595553816
110	0.6593157334
111	0.6591632187
112	0.6589147137
113	0.6585410748
114	0.6582406823
115	0.6579783008
116	0.6576933703
117	0.6574572774
118	0.6571999297
119	0.6570535405
120	0.6568615298
121	0.6565693541
122	0.6562841158
123	0.6560031724
124	0.6557669647
125	0.6554275223
126	0.6551560313
127	0.6549842101
128	0.6547493694
129	0.6545386605
130	0.6543503793
131	0.6541581935
132	0.6539414716
133	0.6537678362
134	0.6534880003
135	0.6532468287
136	0.6529962815
137	0.652805801
138	0.6524802241
139	0.6522710723
