iter	Passed	Remaining
182	947	4231
183	949	4208
184	951	4191
185	954	4175
186	956	4159
187	959	4143
188	961	4126
189	963	4109
190	966	4092
191	968	4076
192	972	4065
193	975	4051
194	978	4039
195	981	4024
196	983	4009
197	986	3996
198	989	3984
199	993	3972
200	995	3955
201	997	3941
202	1000	3927
203	1003	3915
204	1007	3906
205	1010	3894
206	1013	3881
207	1015	3867
208	1018	3855
209	1021	3842
210	1024	3829
211	1026	3815
212	1028	3801
213	1031	3788
214	1034	3776
215	1036	3763
216	1039	3750
217	1041	3737
218	1044	3723
219	1046	3711
220	1049	3700
221	1052	3687
222	1054	3675
223	1057	3662
224	1059	3650
225	1063	3640
226	1065	3629
227	1068	3617
228	1070	3605
229	1072	3590
230	1075	3579
231	1077	3568
232	1080	3558
233	1083	3547
234	1086	3536
235	1088	3525
236	1091	3514
237	1094	3504
238	1097	3494
239	1100	3483
240	1102	3472
241	1105	3461
242	1107	3449
243	1110	3440
244	1113	3431
245	1116	3422
246	1119	3411
247	1121	3400
248	1124	3390
249	1127	3381
250	1130	3373
251	1132	3362
252	1135	3352
253	1137	3342
254	1140	3332
255	1145	3327
256	1147	3318
257	1150	3308
258	1152	3298
259	1155	3288
260	1158	3280
261	1161	3270
262	1163	3261
263	1166	3251
264	1168	3242
265	1172	3234
266	1176	3228
267	1178	3219
268	1181	3209
269	1183	3200
270	1186	3190
271	1189	3184
272	1192	3176
273	1195	3166
274	1197	3157
275	1200	3148
276	1203	3140
277	1206	3132
278	1210	3127
279	1213	3120
280	1216	3113
281	1219	3106
282	1222	3097
283	1225	3089
284	1228	3081
285	1230	3072
286	1233	3063
287	1235	3055
288	1238	3047
289	1240	3038
290	1243	3029
291	1245	3020
292	1248	3011
293	1251	3004
294	1253	2995
295	1256	2987
296	1258	2978
297	1260	2970
298	1263	2961
299	1266	2955
300	1269	2949
301	1272	2941
302	1275	2933
303	1277	2924
304	1280	2917
305	1283	2910
306	1286	2903
307	1288	2895
308	1291	2887
309	1293	2879
310	1296	2873
311	1299	2866
312	1302	2858
313	1304	2850
314	1307	2843
315	1309	2835
316	1313	2829
317	1315	2822
318	1318	2815
319	1321	2807
320	1323	2799
321	1326	2792
322	1330	2789
323	1333	2782
324	1335	2774
325	1338	2767
326	1341	2760
327	1343	2753
328	1346	2745
329	1348	2738
330	1351	2730
331	1352	2720
332	1354	2713
333	1357	2706
334	1360	2699
335	1362	2692
336	1364	2685
337	1367	2678
338	1370	2671
339	1373	2665
340	1376	2659
341	1378	2652
342	1381	2645
343	1383	2638
344	1386	2631
345	1389	2626
346	1392	2621
347	1395	2614
348	1398	2608
349	1401	2602
350	1404	2597
351	1408	2592
352	1411	2587
353	1414	2581
354	1417	2575
355	1420	2570
356	1423	2563
357	1426	2557
358	1428	2550
359	1431	2544
360	1433	2537
361	1437	2533
362	1440	2528
363	1443	2522
364	1446	2516
365	1448	2509
366	1451	2503
367	1455	2499
368	1458	2494
369	1460	2487
370	1464	2482
371	1467	2477
372	1470	2471
373	1472	2464
374	1475	2458
375	1477	2452
376	1480	2446
377	1483	2441
378	1486	2436
379	1489	2429
380	1491	2423
381	1494	2417
382	1497	2412
383	1500	2406
384	1502	2400
385	1505	2393
386	1506	2386
387	1508	2380
388	1511	2374
389	1514	2368
390	1516	2362
391	1519	2356
392	1521	2350
393	1524	2344
394	1526	2338
395	1529	2333
396	1532	2327
397	1534	2321
398	1537	2315
399	1539	2309
400	1542	2304
401	1545	2299
402	1548	2294
403	1552	2289
404	1556	2286
405	1560	2283
406	1564	2279
407	1568	2275
408	1571	2270
409	1574	2266
410	1578	2262
411	1581	2257
412	1585	2252
413	1587	2246
414	1591	2243
415	1595	2239
416	1599	2236
417	1602	2231
418	1607	2228
419	1610	2224
420	1614	2220
421	1617	2215
422	1621	2212
423	1624	2207
424	1628	2203
425	1631	2197
426	1633	2192
427	1637	2188
428	1640	2183
429	1644	2179
430	1647	2174
431	1650	2170
432	1654	2166
433	1656	2160
434	1659	2155
435	1661	2149
436	1664	2144
437	1667	2139
438	1670	2134
439	1672	2129
440	1675	2123
441	1678	2118
442	1680	2113
443	1683	2108
444	1686	2102
445	1688	2097
446	1691	2092
447	1693	2086
448	1696	2082
449	1700	2078
450	1703	2073
451	1706	2068
452	1709	2064
453	1712	2059
454	1715	2055
455	1718	2049
456	1720	2044
457	1723	2039
458	1725	2034
459	1729	2029
460	1731	2024
461	1734	2019
462	1736	2014
463	1739	2009
464	1741	2003
465	1745	2000
466	1749	1996
467	1752	1992
468	1756	1988
469	1759	1984
470	1763	1980
471	1766	1975
472	1769	1971
473	1771	1966
474	1775	1962
475	1778	1957
476	1780	1952
477	1783	1947
478	1785	1942
479	1788	1937
480	1791	1933
481	1794	1928
482	1796	1923
483	1799	1918
484	1801	1913
485	1804	1908
486	1808	1905
487	1811	1900
488	1813	1895
489	1816	1890
490	1818	1885
491	1821	1880
492	1824	1876
493	1827	1871
494	1829	1866
495	1832	1861
496	1834	1856
497	1839	1854
498	1842	1849
499	1844	1844
500	1847	1840
501	1849	1835
502	1852	1830
503	1856	1826
504	1859	1822
505	1862	1817
506	1864	1813
507	1868	1809
508	1871	1805
509	1874	1800
510	1877	1796
511	1880	1792
512	1885	1789
513	1888	1785
514	1891	1781
515	1894	1776
516	1897	1772
517	1902	1770
518	1906	1766
519	1908	1761
520	1911	1757
521	1913	1752
522	1917	1748
523	1919	1743
524	1922	1739
525	1924	1734
526	1927	1729
527	1930	1725
528	1933	1721
529	1935	1716
530	1938	1711
531	1941	1707
532	1944	1703
533	1948	1699
534	1951	1695
535	1954	1691
536	1956	1687
537	1959	1682
538	1963	1679
539	1966	1675
540	1968	1670
541	1971	1665
542	1973	1661
543	1976	1656
544	1979	1652
545	1981	1647
546	1984	1643
547	1986	1638
548	1989	1634
549	1991	1629
550	1994	1625
551	1997	1620
552	1999	1616
553	2002	1611
554	2004	1607
555	2007	1602
556	2010	1598
557	2012	1594
558	2015	1589
559	2017	1585
560	2020	1581
561	2023	1576
562	2026	1572
563	2028	1568
564	2031	1563
565	2033	1559
566	2035	1554
567	2038	1550
568	2041	1546
569	2043	1541
570	2046	1537
571	2048	1533
572	2051	1529
573	2054	1524
574	2057	1520
575	2060	1516
576	2063	1512
577	2066	1508
578	2069	1504
579	2072	1500
580	2076	1497
581	2079	1493
582	2082	1489
583	2085	1485
584	2088	1481
585	2090	1477
586	2093	1472
587	2095	1468
588	2098	1464
589	2100	1459
590	2102	1455
591	2105	1451
592	2107	1446
593	2110	1442
594	2112	1437
595	2114	1433
596	2117	1429
597	2120	1425
598	2122	1421
599	2125	1416
600	2127	1412
601	2130	1408
602	2132	1403
603	2135	1400
604	2138	1396
605	2140	1391
606	2143	1387
607	2145	1383
608	2147	1378
609	2150	1375
610	2153	1370
611	2155	1366
612	2158	1362
613	2160	1358
614	2163	1354
615	2165	1349
616	2168	1345
617	2170	1341
618	2172	1337
619	2175	1333
620	2177	1329
621	2180	1324
622	2182	1320
623	2185	1316
624	2187	1312
625	2190	1308
626	2192	1304
627	2194	1300
628	2197	1296
629	2200	1292
630	2202	1288
631	2204	1283
632	2207	1279
633	2210	1276
634	2213	1272
635	2216	1268
636	2218	1264
637	2221	1260
638	2223	1256
639	2225	1251
640	2228	1248
641	2231	1244
642	2234	1240
643	2236	1236
644	2238	1232
645	2241	1228
646	2243	1224
647	2246	1220
648	2249	1216
649	2251	1212
650	2254	1208
651	2256	1204
652	2258	1200
653	2261	1196
654	2264	1192
655	2266	1188
656	2268	1184
657	2271	1180
658	2273	1176
659	2276	1172
660	2279	1169
661	2281	1165
662	2284	1161
663	2286	1157
664	2289	1153
665	2292	1149
666	2294	1145
667	2297	1141
668	2299	1137
669	2302	1133
670	2304	1129
671	2307	1126
672	2310	1122
673	2312	1118
674	2315	1114
675	2317	1110
676	2320	1106
677	2323	1103
678	2325	1099
679	2328	1095
680	2330	1091
681	2333	1087
682	2336	1084
683	2339	1080
684	2341	1076
685	2344	1073
686	2346	1069
687	2349	1065
688	2352	1061
689	2355	1058
690	2357	1054
691	2360	1050
692	2362	1046
693	2365	1043
694	2368	1039
695	2372	1036
696	2375	1032
697	2378	1028
698	2381	1025
699	2384	1022
700	2388	1018
701	2391	1015
702	2394	1011
703	2397	1007
704	2400	1004
705	2404	1001
706	2407	997
707	2410	994
708	2413	990
709	2416	987
710	2419	983
711	2422	979
712	2425	976
713	2428	972
714	2432	969
715	2435	966
716	2438	962
717	2440	958
718	2443	955
719	2447	951
720	2450	948
721	2452	944
722	2455	940
723	2458	937
724	2461	933
725	2464	930
726	2467	926
727	2470	922
728	2473	919
729	2476	915
730	2479	912
731	2482	908
732	2485	905
733	2488	901
734	2491	898
735	2494	894
736	2497	891
737	2500	887
738	2502	883
739	2505	880
740	2509	876
741	2511	873
742	2514	869
743	2516	866
744	2519	862
745	2522	858
746	2525	855
747	2527	851
748	2530	847
749	2532	844
750	2536	841
751	2539	837
752	2543	834
753	2546	830
754	2548	827
755	2550	823
756	2553	819
757	2556	816
758	2559	812
759	2561	809
760	2564	805
761	2566	801
762	2569	798
763	2572	794
764	2575	791
765	2578	787
766	2580	784
767	2583	780
768	2586	776
769	2589	773
770	2591	769
771	2594	766
772	2596	762
773	2599	758
774	2603	755
775	2606	752
776	2609	748
777	2611	745
778	2614	741
779	2617	738
780	2619	734
781	2622	731
782	2624	727
783	2627	723
784	2631	720
785	2634	717
786	2637	713
787	2639	710
788	2642	706
789	2645	703
790	2648	699
791	2650	696
792	2653	692
793	2655	689
794	2658	685
795	2662	682
796	2665	678
797	2668	675
798	2670	671
799	2672	668
800	2675	664
801	2677	661
802	2680	657
803	2683	654
804	2685	650
805	2688	647
806	2690	643
807	2693	640
808	2697	636
809	2701	633
810	2703	630
811	2706	626
812	2708	623
813	2711	619
814	2714	616
815	2717	612
816	2719	609
817	2722	605
818	2724	602
819	2728	598
820	2730	595
821	2733	591
822	2736	588
823	2738	584
824	2742	581
825	2744	578
826	2747	574
827	2749	571
828	2752	567
829	2754	564
830	2757	560
831	2760	557
832	2763	553
833	2765	550
834	2767	546
835	2770	543
836	2773	540
837	2776	536
838	2779	533
839	2782	529
840	2784	526
841	2787	523
842	2791	519
843	2794	516
844	2796	512
845	2799	509
846	2801	506
847	2805	502
848	2807	499
849	2810	495
850	2812	492
851	2814	488
852	2817	485
853	2820	482
854	2823	478
855	2825	475
856	2828	471
857	2830	468
858	2833	465
859	2836	461
860	2838	458
861	2841	454
862	2843	451
863	2846	448
864	2848	444
865	2851	441
866	2854	437
867	2856	434
868	2859	431
869	2861	427
870	2864	424
871	2867	420
872	2870	417
873	2872	414
874	2875	410
875	2877	407
876	2880	404
877	2883	400
878	2886	397
879	2888	393
880	2891	390
881	2893	387
882	2896	383
883	2899	380
884	2901	377
885	2904	373
886	2906	370
887	2909	366
888	2911	363
889	2914	360
890	2917	356
891	2919	353
892	2922	350
893	2924	346
894	2928	343
895	2931	340
896	2934	336
897	2937	333
898	2940	330
899	2942	326
900	2945	323
901	2948	320
902	2950	316
903	2953	313
904	2955	310
905	2958	306
906	2961	303
907	2964	300
908	2966	296
909	2969	293
910	2971	290
911	2974	287
912	2977	283
913	2979	280
914	2982	277
915	2985	273
916	2987	270
917	2990	267
918	2993	263
919	2995	260
920	2998	257
921	3000	253
922	3003	250
923	3006	247
924	3009	243
925	3011	240
926	3014	237
927	3016	234
928	3019	230
929	3022	227
930	3025	224
931	3028	220
932	3030	217
933	3033	214
934	3036	211
935	3039	207
936	3041	204
937	3044	201
938	3046	197
939	3049	194
940	3052	191
941	3055	188
942	3058	184
943	3060	181
944	3062	178
945	3065	174
946	3067	171
947	3073	168
948	3075	165
949	3078	162
950	3080	158
951	3083	155
952	3086	152
953	3089	148
954	3091	145
955	3094	142
956	3097	139
957	3099	135
958	3102	132
959	3104	129
960	3107	126
961	3110	122
962	3112	119
963	3115	116
964	3118	113
965	3120	109
966	3123	106
967	3125	103
968	3129	100
969	3131	96
970	3134	93
971	3136	90
972	3139	87
973	3142	83
974	3145	80
975	3148	77
976	3150	74
977	3153	70
978	3155	67
979	3158	64
980	3160	61
981	3164	58
982	3166	54
983	3169	51
984	3171	48
985	3174	45
986	3176	41
987	3179	38
988	3182	35
989	3184	32
990	3187	28
991	3189	25
992	3192	22
993	3196	19
994	3199	16
995	3202	12
996	3204	9
997	3207	6
998	3210	3
999	3213	0
